condition,task,policy,mean_k,completion_rate,hold_rate,unsafe_act_rate,mean_latency_ms
in_distribution,top_suction,fixed8,8.0,0.625,0.0,0.375,7.74191865833333
in_distribution,top_suction,full,20.0,0.9416666666666667,0.0,0.058333333333333334,17.90973680833332
in_distribution,top_suction,estimator_stop,14.033333333333333,0.9416666666666667,0.0,0.058333333333333334,12.87687378333332
in_distribution,top_suction,task_stop,10.291666666666666,0.9333333333333333,0.06666666666666665,0.0,9.710116325
in_distribution,label_alignment,fixed8,8.0,0.475,0.0,0.525,7.74191865833333
in_distribution,label_alignment,full,20.0,0.9333333333333333,0.0,0.06666666666666667,17.90973680833332
in_distribution,label_alignment,estimator_stop,14.033333333333333,0.9333333333333333,0.0,0.06666666666666667,12.87687378333332
in_distribution,label_alignment,task_stop,10.55,0.9166666666666666,0.06666666666666665,0.016666666666666666,9.927891625
in_distribution,keyed_insertion,fixed8,8.0,0.38333333333333336,0.0,0.6166666666666667,7.74191865833333
in_distribution,keyed_insertion,full,20.0,0.925,0.0,0.075,17.90973680833332
in_distribution,keyed_insertion,estimator_stop,14.033333333333333,0.925,0.0,0.075,12.87687378333332
in_distribution,keyed_insertion,task_stop,11.541666666666666,0.9083333333333333,0.09166666666666667,0.0,10.76120525833333
stress_2x_sensor_noise,top_suction,fixed8,8.0,0.6666666666666666,0.0,0.3333333333333333,7.695658483333337
stress_2x_sensor_noise,top_suction,full,20.0,0.9666666666666667,0.0,0.03333333333333333,17.827063900000003
stress_2x_sensor_noise,top_suction,estimator_stop,14.416666666666666,0.9666666666666667,0.0,0.03333333333333333,13.142329833333334
stress_2x_sensor_noise,top_suction,task_stop,10.766666666666667,0.95,0.050000000000000044,0.0,10.053730283333334
stress_2x_sensor_noise,label_alignment,fixed8,8.0,0.5,0.0,0.5,7.695658483333337
stress_2x_sensor_noise,label_alignment,full,20.0,0.9666666666666667,0.0,0.03333333333333333,17.827063900000003
stress_2x_sensor_noise,label_alignment,estimator_stop,14.416666666666666,0.9666666666666667,0.0,0.03333333333333333,13.142329833333334
stress_2x_sensor_noise,label_alignment,task_stop,13.133333333333333,0.7,0.30000000000000004,0.0,12.050207516666668
stress_2x_sensor_noise,keyed_insertion,fixed8,8.0,0.36666666666666664,0.0,0.6333333333333333,7.695658483333337
stress_2x_sensor_noise,keyed_insertion,full,20.0,0.95,0.0,0.05,17.827063900000003
stress_2x_sensor_noise,keyed_insertion,estimator_stop,14.416666666666666,0.95,0.0,0.05,13.142329833333334
stress_2x_sensor_noise,keyed_insertion,task_stop,20.0,0.0,1.0,0.0,17.845513833333335
